年月,件数,平米単価,価格,専有面積,築年数,物件種別,販売状況,都道府県,地域
2021年1月,247,11015,115.63,124.57,19.08,中古戸建,新規登録,東京都,城南地区
2021年2月,230,10167,105.79,119.28,20.89,中古戸建,新規登録,東京都,城南地区
2021年3月,253,9180,99.76,112.92,19.94,中古戸建,新規登録,東京都,城南地区
2020年3月,154,9904,106.6,128.71,20.69,中古戸建,新規登録,東京都,城西地区
2020年4月,160,8763,104.86,112.82,20.69,中古戸建,新規登録,東京都,城西地区
2020年5月,136,9978,105.84,121.37,22.25,中古戸建,新規登録,東京都,城西地区
2020年6月,163,9116,103.02,118.81,24.64,中古戸建,新規登録,東京都,城西地区
2020年7月,150,9623,105.7,118.96,21.89,中古戸建,新規登録,東京都,城西地区
2020年8月,148,9516,104.35,116.79,21.93,中古戸建,新規登録,東京都,城西地区
2020年9月,164,9327,106.65,116.6,22.7,中古戸建,新規登録,東京都,城西地区
2020年10月,174,9967,104.8,118.62,23.81,中古戸建,新規登録,東京都,城西地区
2020年11月,135,8770,101.44,112.44,24.09,中古戸建,新規登録,東京都,城西地区
2020年12月,107,10524,104.61,123.62,22.61,中古戸建,新規登録,東京都,城西地区
2021年1月,168,10165,111.74,119.28,21.71,中古戸建,新規登録,東京都,城西地区
2021年2月,128,9291,109.34,114.93,23.96,中古戸建,新規登録,東京都,城西地区
2021年3月,140,10725,108.93,120.76,22.03,中古戸建,新規登録,東京都,城西地区
2020年3月,257,5143,92.08,100.22,26.68,中古戸建,新規登録,東京都,城北地区
2020年4月,192,5660,92.67,101.75,24.11,中古戸建,新規登録,東京都,城北地区
2020年5月,172,5473,90.97,102.64,29.09,中古戸建,新規登録,東京都,城北地区
2020年6月,201,5669,94.78,103.4,26.71,中古戸建,新規登録,東京都,城北地区
2020年7月,190,5633,94.8,103.95,24.51,中古戸建,新規登録,東京都,城北地区
2020年8月,168,6037,89.89,102.63,23.93,中古戸建,新規登録,東京都,城北地区
2020年9月,208,5390,92.32,99.28,23.95,中古戸建,新規登録,東京都,城北地区
2020年10月,232,5575,93.73,103.55,23.94,中古戸建,新規登録,東京都,城北地区
2020年11月,206,5883,101.96,105.29,26.06,中古戸建,新規登録,東京都,城北地区
2020年12月,188,5954,96.08,101.73,26.84,中古戸建,新規登録,東京都,城北地区
2021年1月,186,5440,94.91,100.95,28.14,中古戸建,新規登録,東京都,城北地区
2021年2月,209,5678,87.96,98.62,25.36,中古戸建,新規登録,東京都,城北地区
2021年3月,219,6586,103.02,111.72,25.17,中古戸建,新規登録,東京都,城北地区
2020年3月,709,3546,148.13,105.23,21.47,中古戸建,新規登録,東京都,多摩地区
2020年4月,625,3545,149.99,102.75,21.72,中古戸建,新規登録,東京都,多摩地区
2020年5月,596,3456,154.3,103.83,21.45,中古戸建,新規登録,東京都,多摩地区
2020年6月,622,3812,148.05,104.47,21.5,中古戸建,新規登録,東京都,多摩地区
2020年7月,638,3432,152.33,102.8,22.12,中古戸建,新規登録,東京都,多摩地区
2020年8月,562,3613,144.52,102.18,21.99,中古戸建,新規登録,東京都,多摩地区
2020年9月,583,3469,145.75,102.87,21.73,中古戸建,新規登録,東京都,多摩地区
2020年10月,628,3753,155.6,104.75,22.48,中古戸建,新規登録,東京都,多摩地区
2020年11月,605,3467,144.88,103.32,22.75,中古戸建,新規登録,東京都,多摩地区
2020年12月,518,3598,143.2,105.63,20.96,中古戸建,新規登録,東京都,多摩地区
2021年1月,514,3602,146.23,106.14,22.76,中古戸建,新規登録,東京都,多摩地区
2021年2月,518,3836,145.23,101.68,21.61,中古戸建,新規登録,東京都,多摩地区
2021年3月,548,3661,146.94,103.59,22.46,中古戸建,新規登録,東京都,多摩地区
2020年3月,243,3244,130.22,110.19,18.9,中古戸建,新規登録,東京都,さいたま市
2020年4月,152,3460,135.83,107.01,19.54,中古戸建,新規登録,東京都,さいたま市
2020年5月,186,3248,144.09,111.97,20.22,中古戸建,新規登録,東京都,さいたま市
2020年6月,209,3216,134.11,109.61,19.61,中古戸建,新規登録,東京都,さいたま市
2020年7月,186,3295,137.05,109.38,19.03,中古戸建,新規登録,東京都,さいたま市
2020年8月,172,3358,129.43,108.14,19.08,中古戸建,新規登録,東京都,さいたま市
2020年9月,166,3250,141.73,111.1,21.24,中古戸建,新規登録,東京都,さいたま市
2020年10月,190,3236,144.74,111.99,20.62,中古戸建,新規登録,東京都,さいたま市
2020年11月,168,3394,138.15,112.83,19.11,中古戸建,新規登録,東京都,さいたま市
2020年12月,167,3222,131.88,108.89,19.78,中古戸建,新規登録,東京都,さいたま市
2021年1月,155,3393,135.34,109.07,17.15,中古戸建,新規登録,東京都,さいたま市
2021年2月,153,3705,142.98,111.8,18.2,中古戸建,新規登録,東京都,さいたま市
2021年3月,155,3653,134.3,113.61,18.26,中古戸建,新規登録,東京都,さいたま市
2020年3月,160,2718,121.6,102.68,21.47,中古戸建,新規登録,埼玉県,中央地区
2020年4月,134,3111,115.63,106.68,20.22,中古戸建,新規登録,埼玉県,中央地区
2020年5月,102,2633,111.83,97.02,23.63,中古戸建,新規登録,埼玉県,中央地区
2020年6月,124,2790,114.84,101.08,22.69,中古戸建,新規登録,埼玉県,中央地区
2020年7月,148,2952,119.58,107.46,21.31,中古戸建,新規登録,埼玉県,中央地区
2020年8月,121,2582,109.22,105.21,25.02,中古戸建,新規登録,埼玉県,中央地区
2020年9月,136,2934,114.54,105.89,19.76,中古戸建,新規登録,埼玉県,中央地区
2020年10月,128,2920,125.56,104.22,21.35,中古戸建,新規登録,埼玉県,中央地区
2020年11月,129,2985,107.06,103.09,19.52,中古戸建,新規登録,埼玉県,中央地区
2020年12月,114,2992,112.91,98.72,20.94,中古戸建,新規登録,埼玉県,中央地区
2021年1月,126,2806,104.91,98.13,23.11,中古戸建,新規登録,埼玉県,中央地区
2021年2月,101,3048,113.96,105.26,17.88,中古戸建,新規登録,埼玉県,中央地区
2021年3月,129,3307,115.37,107.35,19.97,中古戸建,新規登録,埼玉県,中央地区
2020年3月,323,2434,127.22,97.11,23.72,中古戸建,新規登録,埼玉県,西部地区
2020年4月,273,2424,127.45,99.24,24.09,中古戸建,新規登録,埼玉県,西部地区
2020年5月,227,2240,123.35,95,25.66,中古戸建,新規登録,埼玉県,西部地区
2020年6月,283,2252,138.41,93.48,25.64,中古戸建,新規登録,埼玉県,西部地区
2020年7月,311,2412,124.65,99.41,24.16,中古戸建,新規登録,埼玉県,西部地区
2020年8月,266,2217,119.49,95.43,24.29,中古戸建,新規登録,埼玉県,西部地区
2020年9月,297,2236,124.07,99.91,24.8,中古戸建,新規登録,埼玉県,西部地区
2020年10月,344,2258,123.37,98.82,24.09,中古戸建,新規登録,埼玉県,西部地区
2020年11月,298,2303,128.68,99.63,25.3,中古戸建,新規登録,埼玉県,西部地区
2020年12月,269,2348,120.2,100.21,24.83,中古戸建,新規登録,埼玉県,西部地区
2021年1月,268,2351,120.45,98.45,25.13,中古戸建,新規登録,埼玉県,西部地区
2021年2月,288,2449,126.52,98.5,23.35,中古戸建,新規登録,埼玉県,西部地区
2021年3月,254,2326,116.73,93.7,25.43,中古戸建,新規登録,埼玉県,西部地区
2020年3月,221,2474,137.22,104.96,21.68,中古戸建,新規登録,埼玉県,東部地区
2020年4月,133,2416,142.25,103.29,21.97,中古戸建,新規登録,埼玉県,東部地区
2020年5月,156,2489,133.61,105.06,22.77,中古戸建,新規登録,埼玉県,東部地区
2020年6月,183,2332,135.02,103.81,23.42,中古戸建,新規登録,埼玉県,東部地区
2020年7月,169,2214,143.8,100.53,25.64,中古戸建,新規登録,埼玉県,東部地区
2020年8月,152,2382,138.24,108.55,24.06,中古戸建,新規登録,埼玉県,東部地区
2020年9月,158,2508,135.35,106.03,24.57,中古戸建,新規登録,埼玉県,東部地区
2020年10月,162,2469,140.71,104.05,23.58,中古戸建,新規登録,埼玉県,東部地区
2020年11月,168,2460,140.62,105.33,24.16,中古戸建,新規登録,埼玉県,東部地区
2020年12月,124,2810,138.05,104.9,22.1,中古戸建,新規登録,埼玉県,東部地区
2021年1月,118,2684,137.99,108.74,22.55,中古戸建,新規登録,埼玉県,東部地区
2021年2月,111,2422,130.8,104.25,21.26,中古戸建,新規登録,埼玉県,東部地区
2021年3月,159,2652,124.89,103.2,21.46,中古戸建,新規登録,埼玉県,東部地区
2020年3月,280,2651,130.15,100.65,23.26,中古戸建,新規登録,埼玉県,総武地区
2020年4月,211,2614,136.32,99.26,23.33,中古戸建,新規登録,埼玉県,総武地区
2020年5月,212,2828,139.79,105.02,24.23,中古戸建,新規登録,埼玉県,総武地区
2020年6月,227,2939,141.96,103.58,23.12,中古戸建,新規登録,埼玉県,総武地区
2020年7月,264,2783,136.77,103.52,24.3,中古戸建,新規登録,埼玉県,総武地区
2020年8月,221,2667,132.88,101.04,24,中古戸建,新規登録,埼玉県,総武地区
2020年9月,227,2632,140.17,101.91,25.88,中古戸建,新規登録,埼玉県,総武地区
2020年10月,298,3002,141.87,106.9,22.62,中古戸建,新規登録,埼玉県,総武地区
2020年11月,240,3008,132.48,103.16,22.23,中古戸建,新規登録,埼玉県,総武地区
2020年12月,193,2901,132.04,98.39,24.46,中古戸建,新規登録,埼玉県,総武地区
2021年1月,207,2527,216.84,99.9,25.58,中古戸建,新規登録,埼玉県,総武地区
2021年2月,209,2878,129.9,100.24,22.64,中古戸建,新規登録,埼玉県,総武地区
2021年3月,191,3021,137.34,104.78,24.6,中古戸建,新規登録,埼玉県,総武地区
2020年3月,298,2310,172.17,105.71,22.81,中古戸建,新規登録,千葉県,常磐地区
2020年4月,274,2327,170.12,110.57,23.37,中古戸建,新規登録,千葉県,常磐地区
2020年5月,219,2299,176.68,107.99,24.33,中古戸建,新規登録,千葉県,常磐地区
2020年6月,255,2357,175.45,109.08,22.38,中古戸建,新規登録,千葉県,常磐地区
2020年7月,247,2291,161.25,108.52,24.72,中古戸建,新規登録,千葉県,常磐地区
2020年8月,225,2211,156.56,105.05,25.58,中古戸建,新規登録,千葉県,常磐地区
2020年9月,242,2493,170.1,112.04,23.46,中古戸建,新規登録,千葉県,常磐地区
2020年10月,255,2240,158.75,109.16,23.25,中古戸建,新規登録,千葉県,常磐地区
2020年11月,252,2380,168.23,109.18,24.87,中古戸建,新規登録,千葉県,常磐地区
2020年12月,193,2391,157.33,108.14,24.03,中古戸建,新規登録,千葉県,常磐地区
2021年1月,226,2308,152.28,104.22,22.36,中古戸建,新規登録,千葉県,常磐地区
2021年2月,183,2580,160.62,109.09,20.88,中古戸建,新規登録,千葉県,常磐地区
2021年3月,175,2348,172.51,106.66,23.39,中古戸建,新規登録,千葉県,常磐地区
2020年3月,134,2530,218.68,122.76,25.75,中古戸建,新規登録,千葉県,千葉市
2020年4月,124,2341,226.66,123.42,25.17,中古戸建,新規登録,千葉県,千葉市
2020年5月,120,2598,263.45,130.96,26.95,中古戸建,新規登録,千葉県,千葉市
2020年6月,142,2660,206.51,120.9,23.99,中古戸建,新規登録,千葉県,千葉市
2020年7月,116,2793,235.54,125.5,23.72,中古戸建,新規登録,千葉県,千葉市
2020年8月,116,2852,232.87,122.41,24.75,中古戸建,新規登録,千葉県,千葉市
2020年9月,122,2572,198.9,116.97,24.39,中古戸建,新規登録,千葉県,千葉市
2020年10月,93,2623,207.56,118.42,24.49,中古戸建,新規登録,千葉県,千葉市
2020年11月,108,2515,217,117.6,24.81,中古戸建,新規登録,千葉県,千葉市
2020年12月,86,2710,240.52,118.96,25.24,中古戸建,新規登録,千葉県,千葉市
2021年1月,109,2550,202.96,118.98,25.52,中古戸建,新規登録,千葉県,千葉市
2021年2月,86,2683,223.44,119.43,24.15,中古戸建,新規登録,千葉県,千葉市
2021年3月,111,2600,200.23,114.21,25.73,中古戸建,新規登録,千葉県,千葉市
2020年3月,639,4209,155.42,110.71,23.54,中古戸建,新規登録,千葉県,横浜市
2020年4月,555,4197,148.18,109.89,21.82,中古戸建,新規登録,千葉県,横浜市
2020年5月,495,4006,149.94,108.13,23.59,中古戸建,新規登録,千葉県,横浜市
2020年6月,624,4052,149.34,108.85,22.72,中古戸建,新規登録,千葉県,横浜市
2020年7月,571,4240,160.25,109.82,22.31,中古戸建,新規登録,千葉県,横浜市
2020年8月,524,4318,156.86,110.32,22.48,中古戸建,新規登録,千葉県,横浜市
2020年9月,546,4145,154.78,107.48,23.09,中古戸建,新規登録,千葉県,横浜市
2020年10月,595,4117,158.76,109.22,23.59,中古戸建,新規登録,千葉県,横浜市
2020年11月,502,4339,158.38,111.33,23.34,中古戸建,新規登録,千葉県,横浜市
2020年12月,395,4123,154,106.59,23.24,中古戸建,新規登録,千葉県,横浜市
2021年1月,498,4389,157.04,109.78,22.26,中古戸建,新規登録,千葉県,横浜市
2021年2月,456,4444,153.97,110.85,23.94,中古戸建,新規登録,千葉県,横浜市
2021年3月,413,4350,154.52,106.51,23.9,中古戸建,新規登録,千葉県,横浜市
2020年3月,164,4230,125.82,109.33,19.59,中古戸建,新規登録,神奈川県,川崎市
2020年4月,127,4203,134.61,110.14,22.88,中古戸建,新規登録,神奈川県,川崎市
2020年5月,128,4235,120.22,105.3,19.54,中古戸建,新規登録,神奈川県,川崎市
2020年6月,169,4191,134.51,111.72,21.63,中古戸建,新規登録,神奈川県,川崎市
2020年7月,163,4024,108.71,102.23,19.52,中古戸建,新規登録,神奈川県,川崎市
2020年8月,129,4009,115.45,108.19,21.14,中古戸建,新規登録,神奈川県,川崎市
2020年9月,141,4135,119.1,107.9,21.99,中古戸建,新規登録,神奈川県,川崎市
2020年10月,148,4639,122.03,112.94,19.82,中古戸建,新規登録,神奈川県,川崎市
2020年11月,131,4359,128.67,109.11,22.3,中古戸建,新規登録,神奈川県,川崎市
2020年12月,112,4180,113.35,106.68,21.53,中古戸建,新規登録,神奈川県,川崎市
2021年1月,125,3964,110.29,101.12,22.34,中古戸建,新規登録,神奈川県,川崎市
2021年2月,105,3812,104.53,102.19,20.19,中古戸建,新規登録,神奈川県,川崎市
2021年3月,121,4393,116.47,108.16,20.39,中古戸建,新規登録,神奈川県,川崎市
2020年3月,156,2493,136.57,101.58,22.94,中古戸建,新規登録,神奈川県,相模原市
2020年4月,125,2459,145.11,102.63,23.02,中古戸建,新規登録,神奈川県,相模原市
2020年5月,140,2681,139.92,104.86,22.36,中古戸建,新規登録,神奈川県,相模原市
2020年6月,145,2510,135.64,100.35,22.78,中古戸建,新規登録,神奈川県,相模原市
2020年7月,141,2549,138.65,100.73,23.93,中古戸建,新規登録,神奈川県,相模原市
2020年8月,124,2576,149.68,101.32,24.34,中古戸建,新規登録,神奈川県,相模原市
2020年9月,131,2716,140.29,102.87,22.72,中古戸建,新規登録,神奈川県,相模原市
2020年10月,110,2761,147.09,104.45,22.94,中古戸建,新規登録,神奈川県,相模原市
2020年11月,101,2639,142.16,103.4,23.11,中古戸建,新規登録,神奈川県,相模原市
2020年12月,95,2614,123.99,100.24,22.51,中古戸建,新規登録,神奈川県,相模原市
2021年1月,102,2676,141.64,106.23,20.19,中古戸建,新規登録,神奈川県,相模原市
2021年2月,83,2923,131.19,104.47,21.06,中古戸建,新規登録,神奈川県,相模原市
2021年3月,92,2587,152.32,103.93,23.79,中古戸建,新規登録,神奈川県,相模原市
2020年3月,204,2731,149.64,109.07,22.06,中古戸建,新規登録,神奈川県,県央地区
2020年4月,166,2355,143.1,100.7,24.68,中古戸建,新規登録,神奈川県,県央地区
2020年5月,167,2366,138.59,98.86,22.62,中古戸建,新規登録,神奈川県,県央地区
2020年6月,180,2505,162.42,101.58,23.92,中古戸建,新規登録,神奈川県,県央地区
2020年7月,204,2495,149.41,102.66,23.47,中古戸建,新規登録,神奈川県,県央地区
2020年8月,161,2447,151.09,101.18,24.18,中古戸建,新規登録,神奈川県,県央地区
2020年9月,174,2568,158.29,104.59,23.38,中古戸建,新規登録,神奈川県,県央地区
2020年10月,188,2436,135.21,97.04,22.44,中古戸建,新規登録,神奈川県,県央地区
2020年11月,154,2496,141.15,99.75,22.63,中古戸建,新規登録,神奈川県,県央地区
2020年12月,124,2614,151.13,105.86,24.02,中古戸建,新規登録,神奈川県,県央地区
2021年1月,154,2795,157.8,113.01,23.13,中古戸建,新規登録,神奈川県,県央地区
2021年2月,117,2625,149.29,103.12,23.29,中古戸建,新規登録,神奈川県,県央地区
2021年3月,135,2894,162.08,112.16,21.54,中古戸建,新規登録,神奈川県,県央地区
2020年3月,403,3954,189.8,110.47,23.42,中古戸建,新規登録,神奈川県,湘南地区
2020年4月,325,3712,199.95,112.08,23.83,中古戸建,新規登録,神奈川県,湘南地区
2020年5月,302,4061,206.36,120.34,24.89,中古戸建,新規登録,神奈川県,湘南地区
2020年6月,338,3402,186.94,107.19,22.37,中古戸建,新規登録,神奈川県,湘南地区
2020年7月,316,3554,191.06,107.74,23.7,中古戸建,新規登録,神奈川県,湘南地区
2020年8月,285,3617,197.8,112.76,25.16,中古戸建,新規登録,神奈川県,湘南地区
2020年9月,339,3399,203.41,108.12,24.16,中古戸建,新規登録,神奈川県,湘南地区
2020年10月,358,3709,186.05,113.36,24.35,中古戸建,新規登録,神奈川県,湘南地区
2020年11月,316,3952,188.37,109.7,24.6,中古戸建,新規登録,神奈川県,湘南地区
2020年12月,285,3919,232.03,108.11,25.8,中古戸建,新規登録,神奈川県,湘南地区
2021年1月,253,3362,200.79,106.62,24.3,中古戸建,新規登録,神奈川県,湘南地区
2021年2月,269,3686,205.97,112.84,25.88,中古戸建,新規登録,神奈川県,湘南地区
2021年3月,241,3949,207.67,110.91,23.87,中古戸建,新規登録,神奈川県,湘南地区
2020年3月,1200,4224,84.5,100.19,23.06,中古戸建,在庫,東京都,城東地区
2020年4月,1161,4270,84.24,100.35,23.19,中古戸建,在庫,東京都,城東地区
2020年5月,1123,4199,83.82,99.88,23.89,中古戸建,在庫,東京都,城東地区
2020年6月,1109,4216,84.91,100.78,24.4,中古戸建,在庫,東京都,城東地区
2020年7月,1093,4087,83.35,99.1,25.16,中古戸建,在庫,東京都,城東地区
2020年8月,1111,4156,83.78,100.51,24.99,中古戸建,在庫,東京都,城東地区
2020年9月,1071,4176,82.58,99.46,24.84,中古戸建,在庫,東京都,城東地区
2020年10月,1052,4227,83.55,100.49,25.1,中古戸建,在庫,東京都,城東地区
2020年11月,1024,4288,83.83,101.47,24.9,中古戸建,在庫,東京都,城東地区
2020年12月,976,4293,85.87,102.12,24.34,中古戸建,在庫,東京都,城東地区
2021年1月,971,4323,86.6,101.53,24.6,中古戸建,在庫,東京都,城東地区
2021年2月,976,4454,85.17,111.55,24.32,中古戸建,在庫,東京都,城東地区
2021年3月,948,4471,84.56,100.63,24.6,中古戸建,在庫,東京都,城東地区
2020年3月,1271,11449,133.26,141.07,19.19,中古戸建,在庫,東京都,城南地区
2020年4月,1231,11290,131.59,139.68,19.51,中古戸建,在庫,東京都,城南地区
2020年5月,1217,11393,130.6,140.49,19.43,中古戸建,在庫,東京都,城南地区
2020年6月,1173,11550,131.93,140.51,19.17,中古戸建,在庫,東京都,城南地区
2020年7月,1169,11516,132.36,139.9,19.26,中古戸建,在庫,東京都,城南地区
2020年8月,1085,11683,133.97,140.43,19.59,中古戸建,在庫,東京都,城南地区
2020年9月,1033,11502,133.12,140.05,19.59,中古戸建,在庫,東京都,城南地区
2020年10月,1018,11883,134.38,141.59,19.44,中古戸建,在庫,東京都,城南地区
2020年11月,963,11908,134.08,139.7,19.63,中古戸建,在庫,東京都,城南地区
2020年12月,941,11929,133.15,139.68,19.57,中古戸建,在庫,東京都,城南地区
2021年1月,901,12263,133.62,140.8,19.49,中古戸建,在庫,東京都,城南地区
2021年2月,868,12515,134.54,141.04,19.93,中古戸建,在庫,東京都,城南地区
2021年3月,828,12614,136,141.65,20.81,中古戸建,在庫,東京都,城南地区
2020年3月,601,9787,113.43,124.56,21.08,中古戸建,在庫,東京都,城西地区
2020年4月,633,9792,114.75,124.45,21.17,中古戸建,在庫,東京都,城西地区
2020年5月,626,9900,113.66,124.77,21.57,中古戸建,在庫,東京都,城西地区
2020年6月,630,10053,114.34,125.44,22.53,中古戸建,在庫,東京都,城西地区
2020年7月,603,10330,115.21,127.12,22.55,中古戸建,在庫,東京都,城西地区
2020年8月,575,10310,112.95,126.48,22.33,中古戸建,在庫,東京都,城西地区
2020年9月,587,10276,114.62,126.67,22.05,中古戸建,在庫,東京都,城西地区
2020年10月,584,10570,116.46,128.3,22.66,中古戸建,在庫,東京都,城西地区
2020年11月,569,10615,115.81,128.31,23,中古戸建,在庫,東京都,城西地区
2020年12月,534,10614,115.2,129.3,23.01,中古戸建,在庫,東京都,城西地区
2021年1月,523,11093,119.08,131.71,22.63,中古戸建,在庫,東京都,城西地区
2021年2月,515,11025,116.6,130.23,22.74,中古戸建,在庫,東京都,城西地区
2021年3月,462,11785,119.03,133.72,23.03,中古戸建,在庫,東京都,城西地区
2020年3月,772,5834,104.24,110.24,26.01,中古戸建,在庫,東京都,城北地区
2020年4月,761,5863,103.43,109.93,25.84,中古戸建,在庫,東京都,城北地区
2020年5月,742,5887,102.5,109.45,26.24,中古戸建,在庫,東京都,城北地区
2020年6月,719,5934,102.9,109.84,26.04,中古戸建,在庫,東京都,城北地区
2020年7月,690,6027,103.32,110.89,25.59,中古戸建,在庫,東京都,城北地区
2020年8月,649,6207,102.95,111.14,24.79,中古戸建,在庫,東京都,城北地区
2020年9月,641,6352,105.43,112.76,24.92,中古戸建,在庫,東京都,城北地区
2020年10月,665,6125,100.62,110.43,24.9,中古戸建,在庫,東京都,城北地区
2020年11月,675,6108,102.2,110.39,25.38,中古戸建,在庫,東京都,城北地区
2020年12月,669,6170,101.96,109.49,25.69,中古戸建,在庫,東京都,城北地区
2021年1月,644,6055,101.01,107.67,26.12,中古戸建,在庫,東京都,城北地区
2021年2月,639,6035,98.95,106.69,26.19,中古戸建,在庫,東京都,城北地区
2021年3月,622,6549,104.83,112.84,25.82,中古戸建,在庫,東京都,城北地区
2020年3月,2890,3807,158.94,110.32,22.1,中古戸建,在庫,東京都,多摩地区
2020年4月,2885,3786,156.28,108.85,22.01,中古戸建,在庫,東京都,多摩地区
2020年5月,2851,3792,157.25,108.87,21.88,中古戸建,在庫,東京都,多摩地区
2020年6月,2761,3839,155.65,108.67,21.77,中古戸建,在庫,東京都,多摩地区
2020年7月,2604,3866,159.68,109.23,22.02,中古戸建,在庫,東京都,多摩地区
2020年8月,2518,3877,159.14,108.72,22.23,中古戸建,在庫,東京都,多摩地区
2020年9月,2396,3921,160.48,109.34,22.55,中古戸建,在庫,東京都,多摩地区
2020年10月,2307,3953,158.83,109.23,22.66,中古戸建,在庫,東京都,多摩地区
2020年11月,2274,3937,156.67,108.66,22.83,中古戸建,在庫,東京都,多摩地区
2020年12月,2222,3831,153.21,108.76,22.76,中古戸建,在庫,東京都,多摩地区
2021年1月,2113,3855,153.82,109.03,22.84,中古戸建,在庫,東京都,多摩地区
2021年2月,2043,3950,154.71,107.86,22.8,中古戸建,在庫,東京都,多摩地区
2021年3月,1900,3957,155.26,107.87,23.21,中古戸建,在庫,東京都,多摩地区
2020年3月,774,3450,140.93,114.41,19.67,中古戸建,在庫,埼玉県,さいたま市
2020年4月,757,3464,140.37,113.23,19.42,中古戸建,在庫,埼玉県,さいたま市
2020年5月,763,3501,143.08,113.09,19.28,中古戸建,在庫,埼玉県,さいたま市
2020年6月,753,3475,142.16,112.86,19.16,中古戸建,在庫,埼玉県,さいたま市
2020年7月,733,3507,142.05,113.23,19.16,中古戸建,在庫,埼玉県,さいたま市
2020年8月,705,3564,141.78,113.39,19.36,中古戸建,在庫,埼玉県,さいたま市
2020年9月,648,3644,143.96,114.66,19.59,中古戸建,在庫,埼玉県,さいたま市
2020年10月,633,3635,145.68,115.57,20.16,中古戸建,在庫,埼玉県,さいたま市
2020年11月,621,3641,144.98,116.34,19.94,中古戸建,在庫,埼玉県,さいたま市
2020年12月,634,3583,141.72,116.7,19.83,中古戸建,在庫,埼玉県,さいたま市
2021年1月,599,3629,139.1,115.93,19.1,中古戸建,在庫,埼玉県,さいたま市
2021年2月,556,3766,140.57,117.22,18.98,中古戸建,在庫,埼玉県,さいたま市
2021年3月,530,3713,142.04,115.25,18.51,中古戸建,在庫,埼玉県,さいたま市
2020年3月,523,3025,125.94,107.71,20.63,中古戸建,在庫,埼玉県,中央地区
2020年4月,517,3076,123.53,107.23,20.41,中古戸建,在庫,埼玉県,中央地区
2020年5月,486,3022,122.1,106.52,20.77,中古戸建,在庫,埼玉県,中央地区
2020年6月,475,3048,120.34,105.86,20.94,中古戸建,在庫,埼玉県,中央地区
2020年7月,475,3090,120.53,106.89,20.83,中古戸建,在庫,埼玉県,中央地区
2020年8月,446,3080,120.99,107.67,21.7,中古戸建,在庫,埼玉県,中央地区
2020年9月,448,3043,119.81,107.07,20.81,中古戸建,在庫,埼玉県,中央地区
2020年10月,450,3096,122.55,107.12,20.78,中古戸建,在庫,埼玉県,中央地区
2020年11月,441,3160,118.2,108,20.42,中古戸建,在庫,埼玉県,中央地区
2020年12月,441,3112,118.97,106.72,20.54,中古戸建,在庫,埼玉県,中央地区
2021年1月,429,3125,118.51,107.09,21.06,中古戸建,在庫,埼玉県,中央地区
2021年2月,413,3167,121.11,108.18,20.43,中古戸建,在庫,埼玉県,中央地区
2021年3月,404,3283,120.41,107.79,20.65,中古戸建,在庫,埼玉県,中央地区
2020年3月,1231,2501,133.24,99.6,24.19,中古戸建,在庫,埼玉県,西部地区
2020年4月,1227,2504,132.65,99.99,24.09,中古戸建,在庫,埼玉県,西部地区
2020年5月,1179,2526,133.42,100.77,24.22,中古戸建,在庫,埼玉県,西部地区
2020年6月,1152,2487,137.11,99.91,24.37,中古戸建,在庫,埼玉県,西部地区
2020年7月,1163,2529,134.21,100.84,24.08,中古戸建,在庫,埼玉県,西部地区
2020年8月,1130,2511,132.54,101.19,23.8,中古戸建,在庫,埼玉県,西部地区
2020年9月,1100,2481,132.28,101.24,23.99,中古戸建,在庫,埼玉県,西部地区
2020年10月,1097,2451,131.51,101.3,24.25,中古戸建,在庫,埼玉県,西部地区
2020年11月,1053,2465,134.97,101.8,24.69,中古戸建,在庫,埼玉県,西部地区
2020年12月,1047,2453,131.24,101.63,24.73,中古戸建,在庫,埼玉県,西部地区
2021年1月,1004,2467,133.05,101.99,24.67,中古戸建,在庫,埼玉県,西部地区
2021年2月,983,2526,135.32,102.2,24.35,中古戸建,在庫,埼玉県,西部地区
2021年3月,895,2568,135.17,102.41,24.51,中古戸建,在庫,埼玉県,西部地区
2020年3月,610,2468,142.65,107.64,23.51,中古戸建,在庫,埼玉県,東部地区
2020年4月,603,2478,143.57,107.71,23.09,中古戸建,在庫,埼玉県,東部地区
2020年5月,607,2485,143.89,107.18,23.07,中古戸建,在庫,埼玉県,東部地区
2020年6月,600,2470,144.79,107.41,23.5,中古戸建,在庫,埼玉県,東部地区
2020年7月,585,2401,143.08,105.67,24.13,中古戸建,在庫,埼玉県,東部地区
2020年8月,562,2427,145.26,107.64,24,中古戸建,在庫,埼玉県,東部地区
2020年9月,531,2401,143.08,106.41,24.47,中古戸建,在庫,埼玉県,東部地区
2020年10月,526,2396,140.47,105.17,24.64,中古戸建,在庫,埼玉県,東部地区
2020年11月,513,2464,144.17,105.88,24.9,中古戸建,在庫,埼玉県,東部地区
2020年12月,474,2569,142.06,105.56,24.16,中古戸建,在庫,埼玉県,東部地区
2021年1月,469,2584,142.87,107.18,24.32,中古戸建,在庫,埼玉県,東部地区
2021年2月,429,2565,141.39,106.26,24.04,中古戸建,在庫,埼玉県,東部地区
2021年3月,414,2609,140.71,104.81,24.05,中古戸建,在庫,千葉県,東部地区
2020年3月,1003,2894,147.82,107.12,23.81,中古戸建,在庫,千葉県,総武地区
